,unnamed: 0,case_number,date,date_revised,season,year,case,type,country,country_revised,continent,area,location,activity,name,sex,age,injury,fatal,time,species ,investigator or source,href_formula,objectid,location_georeferenced_lon,location_georeferenced_lat,location_georeferenced_result,country_captalized,month,season_code
0,0,2016.08.06,6-Aug-16,8/6/16,summer,2016,1,Unprovoked,USA,USA,North America,Hawaii,Maui,SUP Foil boarding,Connor Baxter,male,21,"No inury, shark & board collided",non-fatal,16h30,"Tiger shark, 10'","SUP, 8/9/2015",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.06-Baxter.pdf,m_1,-156.5646068,20.85953511,matched,USA,8,3
1,1,2016.08.04,4-Aug-16,8/4/16,summer,2016,1,Unprovoked,USA,USA,North America,Florida,"New Smyrna Beach, Volusia County",Surfing,Nolan Tyler,male,22,Big toe bitten,non-fatal,unknown,Blacktip shark,"News 965, 8/5/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Tyler.pdf,m_2,-80.92303,29.02716,matched,USA,8,3
2,2,2016.07.29,29-Jul-16,7/29/16,summer,2016,1,Unprovoked,SPAIN,SPAIN,Europe,Alicante Province,Arenales del Sol,Swimming,male,male,40,Lacerations to right hand,non-fatal,11h30,Blue shark,"Informacion.es, 7/29/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.29-Spain.pdf,m_3,-0.51774,38.25594,matched,Spain,7,3
3,3,2016.07.28.R,28-Jul-16,7/28/16,summer,2016,1,Unprovoked,CHINA,CHINA,Asia,Hong Kong,unknown,Swimming,Justus Franz,male,72,Lacerations to leg,non-fatal,unknown,unknown,"Klassick, 7/28/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28.R-Franz.pdf,m_4,121.529236,31.27931,matched,China,7,3
4,4,2016.07.28,28-Jul-16,7/28/16,summer,2016,1,Boating,AUSTRALIA,AUSTRALIA,Oceania,Western Australia,Near Albany,Kayaking,Ian Watkins,male,unknown,"No injury, shark nudged kayak repeatedly",non-fatal,unknown,White shark,"ABC Australia, 7/28/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28-Watkins.pdf,m_5,117.88355,-35.02394,matched,Australia,7,3
5,5,2016.07.27,27-Jul-16,7/27/16,summer,2016,1,Provoked,USA,USA,North America,Florida,"Florida Keys, Monroe County",Lobstering,Warren Sapp,male,43,Laceration to left forearm PROVOKED INCIDENT,non-fatal,unknown,"Nurse shark, 4'","Tampa Bay Times, 7/27/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.27-Sapp.pdf,m_6,-81.04854333,25.42570711,matched,USA,7,3
6,6,2016.07.26,26-Jul-16,7/26/16,summer,2016,1,Unprovoked,AUSTRALIA,AUSTRALIA,Oceania,New South Wales,"Sharpes Beach, Ballina",Surfing,Curran See & Harry Lake,male,18,"No injury. Leg rope severed, knocked off board by shark",non-fatal,12h00,unknown,"Gold Coast Bulletin, 7/28/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.26-Ballina.pdf,m_7,153.60451,-28.83321,matched,Australia,7,3
7,7,2016.07.24,24-Jul-16,7/24/16,summer,2016,1,Unprovoked,JAPAN,JAPAN,Asia,Kochi Prefecture,Irino Beach,Surfing,male,male,29,Lacerations to left leg,non-fatal,19h05,unknown,"Japan Times, 7/25/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.24-Japan.pdf,m_8,133.0100531,33.02381552,matched,Japan,7,3
8,8,2016.07.23.b,23-Jul-16,7/23/16,summer,2016,1,Unprovoked,AUSTRALIA,AUSTRALIA,Oceania,Tasmania,Clifton Beach,Surfing,Zebulon Critchlow,male,36,Calf bumped but no injury,non-fatal,unknown,unknown,"C. Black, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.23.b-Critchlow.pdf,m_9,147.52236,-42.99022,matched,Australia,7,3
9,9,2016.07.23.a,23-Jul-16,7/23/16,summer,2016,1,Unprovoked,BAHAMAS,BAHAMAS,North America,Abaco Islands,Green Turtle Cay,Spearfishing,Steve Cutbirth,male,unknown,Lacerations to face and right leg,non-fatal,unknown,"Bull shark, 6'","KWTX, 7/23/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.23.a-Cutbirth.pdf,m_10,-77.31667,26.76667,matched,Bahamas,7,3
